density	taxon	op	length	qualifier	sample	comment	unit
328.2	Dinoflagellate		20	athecate	ICE11-1400		cells/L
5774.9	Dinoflagellate		20	athecate	ICE11-1401		cells/L
328.2	Dinoflagellate		20	athecate	ICE11-1402		cells/L
2566.6	Dinoflagellate		20	athecate	ICE11-1403		cells/L
55181.5	Dinoflagellate		20	athecate	ICE11-1472		cells/L
32.8	Dinoflagellate		20-40	thecate	ICE11-34		cells/L
32.8	Dinoflagellate		20-40	thecate	ICE11-96		cells/L
1283.3	Dinoflagellate		20-40	thecate	ICE11-175		cells/L
32.8	Dinoflagellate		20-40	thecate	ICE11-330		cells/L
641.6	Dinoflagellate		20-40	thecate	ICE11-331		cells/L
427.8	Dinoflagellate		20-40	thecate	ICE11-332		cells/L
1283.3	Dinoflagellate		20-40	thecate	ICE11-333		cells/L
427.8	Dinoflagellate		20-40	thecate	ICE11-334		cells/L
641.6	Dinoflagellate		20-40	thecate			cells/L
1283.3	Dinoflagellate		20-40	thecate	ICE11-667		cells/L
641.6	Dinoflagellate		20-40	thecate	ICE11-777		cells/L
1283.3	Dinoflagellate		20-40	thecate	ICE11-778		cells/L
1283.3	Dinoflagellate		20-40	thecate	ICE11-745		cells/L
641.6	Dinoflagellate		20-40	thecate			cells/L
32.8	Dinoflagellate		20-40	thecate	ICE11-878		cells/L
641.6	Dinoflagellate		20-40	thecate	ICE11-879		cells/L
641.6	Dinoflagellate		20-40	thecate	ICE11-880		cells/L
641.6	Dinoflagellate		20-40	thecate	ICE11-881		cells/L
641.6	Dinoflagellate		20-40	thecate	ICE11-864		cells/L
641.6	Dinoflagellate		20-40	thecate	ICE11-945		cells/L
759	Dinoflagellate		20-40	thecate	ICE11-947		cells/L
1924.9	Dinoflagellate		20-40	thecate	ICE11-930		cells/L
32.8	Dinoflagellate		20-40	thecate	ICE11-992		cells/L
32.8	Dinoflagellate		20-40	thecate	ICE11-993		cells/L
1924.9	Dinoflagellate		20-40	thecate	ICE11-994		cells/L
641.6	Dinoflagellate		20-40	thecate	ICE11-995		cells/L
1924.9	Dinoflagellate		20-40	thecate	ICE11-996		cells/L
1924.9	Dinoflagellate		20-40	thecate	ICE11-1059		cells/L
5133.2	Dinoflagellate		20-40	thecate	ICE11-1060		cells/L
641.6	Dinoflagellate		20-40	thecate	ICE11-1061		cells/L
7699.7	Dinoflagellate		20-40	thecate	ICE11-1062		cells/L
32.8	Dinoflagellate		20-40	thecate	ICE11-1130		cells/L
32.8	Dinoflagellate		20-40	thecate	ICE11-1131		cells/L
1283.3	Dinoflagellate		20-40	thecate	ICE11-1132		cells/L
1283.3	Dinoflagellate		20-40	thecate	ICE11-1133		cells/L
1924.9	Dinoflagellate		20-40	thecate	ICE11-1134		cells/L
32.8	Dinoflagellate		20-40	thecate	ICE11-1196		cells/L
1283.3	Dinoflagellate		20-40	thecate	ICE11-1198		cells/L
1924.9	Dinoflagellate		20-40	thecate	ICE11-1199		cells/L
2566.6	Dinoflagellate		20-40	thecate	ICE11-1200		cells/L
641.6	Dinoflagellate		20-40	thecate	ICE11-1262		cells/L
641.6	Dinoflagellate		20-40	thecate	ICE11-1263		cells/L
641.6	Dinoflagellate		20-40	thecate	ICE11-1264		cells/L
1924.9	Dinoflagellate		20-40	thecate	ICE11-1265		cells/L
1283.3	Dinoflagellate		20-40	thecate	ICE11-1266		cells/L
427.8	Dinoflagellate		20-40	thecate	ICE11-1328		cells/L
641.6	Dinoflagellate		20-40	thecate	ICE11-1330		cells/L
2566.6	Dinoflagellate		20-40	thecate	ICE11-1331		cells/L
328.2	Dinoflagellate		20-40	thecate	ICE11-1332		cells/L
641.6	Dinoflagellate		20-40	thecate	ICE11-1399		cells/L
1283.3	Dinoflagellate		20-40	thecate	ICE11-1400		cells/L
641.6	Dinoflagellate		20-40	thecate	ICE11-1401		cells/L
1283.3	Dinoflagellate		20-40	thecate	ICE11-1402		cells/L
1924.9	Dinoflagellate		20-40	thecate	ICE11-1403		cells/L
1283.3	Dinoflagellate		20-40	thecate	ICE11-1472		cells/L
32.8	Dinoflagellate	<	20	thecate	ICE11-331		cells/L
1283.3	Dinoflagellate	<	20	thecate	ICE11-745		cells/L
759	Dinoflagellate	<	20	thecate	ICE11-947		cells/L
641.6	Dinoflagellate	<	20	thecate	ICE11-994		cells/L
641.6	Dinoflagellate	<	20	thecate	ICE11-1132		cells/L
1283.3	Dinoflagellate	<	20	thecate	ICE11-1198		cells/L
641.6	Dinoflagellate	<	20	thecate	ICE11-1264		cells/L
641.6	Dinoflagellate	<	20	thecate	ICE11-1330		cells/L
641.6	Dinoflagellate	<	20	thecate	ICE11-1401		cells/L
641.6	Gymnodinium arcticum				ICE11-947		cells/L
5133.2	Dinobryon balticum						cells/L
641.6	Dinobryon balticum				ICE11-1060		cells/L
427.8	Polariella glacialis			cyst	ICE11-332		cells/L
641.6	Polariella glacialis			cyst	ICE11-777		cells/L
641.6	Polariella glacialis			cyst	ICE11-880		cells/L
641.6	Polariella glacialis			cyst	ICE11-881		cells/L
32.8	Polariella glacialis			cyst	ICE11-944		cells/L
1283.3	Polariella glacialis			cyst	ICE11-945		cells/L
1283.3	Polariella glacialis			cyst	ICE11-947		cells/L
328.2	Polariella glacialis			cyst	ICE11-930		cells/L
962.5	Polariella glacialis			cyst	ICE11-993		cells/L
2566.6	Polariella glacialis			cyst	ICE11-994		cells/L
1283.3	Polariella glacialis			cyst	ICE11-995		cells/L
1283.3	Polariella glacialis			cyst	ICE11-996		cells/L
641.6	Polariella glacialis			cyst	ICE11-1061		cells/L
32.8	Polariella glacialis			cyst	ICE11-1130		cells/L
1283.3	Polariella glacialis			cyst	ICE11-1132		cells/L
641.6	Polariella glacialis			cyst	ICE11-1133		cells/L
641.6	Polariella glacialis			cyst	ICE11-1199		cells/L
641.6	Polariella glacialis			cyst	ICE11-1264		cells/L
1283.3	Polariella glacialis			cyst	ICE11-1265		cells/L
2566.6	Polariella glacialis			cyst	ICE11-1330		cells/L
641.6	Polariella glacialis			cyst	ICE11-1331		cells/L
1283.3	Polariella glacialis			cyst	ICE11-1401		cells/L
641.6	Polariella glacialis			cyst	ICE11-1402		cells/L
1283.3	Polariella glacialis			cyst	ICE11-1472		cells/L
641.6	Prorocentrum sp.				ICE11-930		cells/L
641.6	Prorocentrum sp.				ICE11-994		cells/L
641.6	Prorocentrum sp.				ICE11-1132		cells/L
1283.3	Prorocentrum sp.				ICE11-1330		cells/L
641.6	Oxytoxum sp.				ICE11-1132		cells/L
32.8	Cylindrotheca closterium				ICE11-330		cells/L
641.6	Cylindrotheca closterium				ICE11-331		cells/L
427.8	Cylindrotheca closterium				ICE11-334		cells/L
1283.3	Cylindrotheca closterium				ICE11-667		cells/L
32.8	Cylindrotheca closterium				ICE11-993		cells/L
641.6	Cylindrotheca closterium				ICE11-1200		cells/L
427.8	Cylindrotheca closterium				ICE11-1328		cells/L
62531.2	Phaeocystis pouchetii			soletary	ICE11-34		cells/L
11724.6	Phaeocystis pouchetii			soletary	ICE11-96		cells/L
1421.9	Phaeocystis pouchetii			soletary	ICE11-456		cells/L
2247.2	Phaeocystis pouchetii			soletary	ICE11-175		cells/L
32378	Phaeocystis pouchetii			soletary	ICE11-252		cells/L
547148.2	Phaeocystis pouchetii			soletary			cells/L
65136.7	Phaeocystis pouchetii			soletary	ICE11-330		cells/L
13273.4	Phaeocystis pouchetii			soletary	ICE11-331		cells/L
32378	Phaeocystis pouchetii			soletary	ICE11-332		cells/L
3982.1	Phaeocystis pouchetii			soletary	ICE11-333		cells/L
547148.2	Phaeocystis pouchetii			soletary	ICE11-334		cells/L
41948.3	Phaeocystis pouchetii			soletary			cells/L
31265.6	Phaeocystis pouchetii			soletary	ICE11-418		cells/L
2654.7	Phaeocystis pouchetii			soletary	ICE11-667		cells/L
18238.3	Phaeocystis pouchetii			soletary	ICE11-775		cells/L
57597.4	Phaeocystis pouchetii			soletary	ICE11-776		cells/L
885859	Phaeocystis pouchetii			soletary	ICE11-777		cells/L
119929.2	Phaeocystis pouchetii			soletary	ICE11-778		cells/L
1268862.7	Phaeocystis pouchetii			soletary	ICE11-745		cells/L
16425.4	Phaeocystis pouchetii			soletary			cells/L
23449.3	Phaeocystis pouchetii			soletary	ICE11-878		cells/L
61863.1	Phaeocystis pouchetii			soletary	ICE11-879		cells/L
78687.2	Phaeocystis pouchetii			soletary	ICE11-880		cells/L
711292.7	Phaeocystis pouchetii			soletary	ICE11-881		cells/L
52855.2	Phaeocystis pouchetii			soletary	ICE11-864		cells/L
18238.3	Phaeocystis pouchetii			soletary	ICE11-944		cells/L
1234991.6	Phaeocystis pouchetii			soletary	ICE11-945		cells/L
86515.2	Phaeocystis pouchetii			soletary	ICE11-947		cells/L
745163.7	Phaeocystis pouchetii			soletary	ICE11-930		cells/L
59925.8	Phaeocystis pouchetii			soletary	ICE11-992		cells/L
25273.4	Phaeocystis pouchetii			soletary	ICE11-993		cells/L
17847.2	Phaeocystis pouchetii			soletary	ICE11-994		cells/L
19169.9	Phaeocystis pouchetii			soletary	ICE11-995		cells/L
898886.3	Phaeocystis pouchetii			soletary	ICE11-996		cells/L
54714.8	Phaeocystis pouchetii			soletary	ICE11-1058		cells/L
515882.6	Phaeocystis pouchetii			soletary	ICE11-1059		cells/L
1589335.2	Phaeocystis pouchetii			soletary	ICE11-1060		cells/L
1313155.7	Phaeocystis pouchetii			soletary	ICE11-1061		cells/L
932757.4	Phaeocystis pouchetii			soletary	ICE11-1062		cells/L
19429.6	Phaeocystis pouchetii			soletary	ICE11-1130		cells/L
135484.3	Phaeocystis pouchetii			soletary	ICE11-1131		cells/L
94839.2	Phaeocystis pouchetii			soletary	ICE11-1132		cells/L
893675.4	Phaeocystis pouchetii			soletary	ICE11-1133		cells/L
992683.2	Phaeocystis pouchetii			soletary	ICE11-1134		cells/L
11613.2	Phaeocystis pouchetii			soletary	ICE11-1196		cells/L
255335.8	Phaeocystis pouchetii			soletary	ICE11-1197		cells/L
911913.7	Phaeocystis pouchetii			soletary	ICE11-1198		cells/L
1443429.5	Phaeocystis pouchetii			soletary	ICE11-1199		cells/L
1122956.5	Phaeocystis pouchetii			soletary	ICE11-1200		cells/L
88585.9	Phaeocystis pouchetii			soletary	ICE11-1262		cells/L
474195.1	Phaeocystis pouchetii			soletary	ICE11-1263		cells/L
969233.9	Phaeocystis pouchetii			soletary	ICE11-1264		cells/L
91973.6	Phaeocystis pouchetii			soletary	ICE11-1265		cells/L
79262.1	Phaeocystis pouchetii			soletary	ICE11-1266		cells/L
46898.4	Phaeocystis pouchetii			soletary	ICE11-1328		cells/L
14695.2	Phaeocystis pouchetii			soletary	ICE11-1329		cells/L
95361.1	Phaeocystis pouchetii			soletary	ICE11-1330		cells/L
687843.4	Phaeocystis pouchetii			soletary	ICE11-1331		cells/L
911913.7	Phaeocystis pouchetii			soletary	ICE11-1332		cells/L
122457	Phaeocystis pouchetii			soletary	ICE11-1399		cells/L
377792.9	Phaeocystis pouchetii			soletary	ICE11-1400		cells/L
187593.7	Phaeocystis pouchetii			soletary	ICE11-1401		cells/L
174566.3	Phaeocystis pouchetii			soletary	ICE11-1402		cells/L
153722.6	Phaeocystis pouchetii			soletary	ICE11-1403		cells/L
1625811.8	Phaeocystis pouchetii			soletary	ICE11-1472		cells/L
299628.8	Flagellate	<	5		ICE11-34		cells/L
83375	Flagellate	<	5		ICE11-96		cells/L
134181.6	Flagellate	<	5		ICE11-456		cells/L
343921.7	Flagellate	<	5		ICE11-175		cells/L
27968.6	Flagellate	<	5		ICE11-252		cells/L
268363.2	Flagellate	<	5				cells/L
37445.2	Flagellate	<	5		ICE11-330		cells/L
34839.8	Flagellate	<	5		ICE11-331		cells/L
333499.9	Flagellate	<	5		ICE11-332		cells/L
375187.3	Flagellate	<	5		ICE11-333		cells/L
463773.2	Flagellate	<	5		ICE11-334		cells/L
317867.5	Flagellate	<	5				cells/L
169355.4	Flagellate	<	5		ICE11-418		cells/L
455956.8	Flagellate	<	5		ICE11-667		cells/L
132878.8	Flagellate	<	5		ICE11-775		cells/L
135484.3	Flagellate	<	5		ICE11-776		cells/L
62531.2	Flagellate	<	5		ICE11-777		cells/L
46898.4	Flagellate	<	5		ICE11-778		cells/L
276179.6	Flagellate	<	5		ICE11-745		cells/L
231886.6	Flagellate	<	5				cells/L
2866.1	Flagellate	<	5		ICE11-878		cells/L
14596.2	Flagellate	<	5		ICE11-879		cells/L
229281.1	Flagellate	<	5		ICE11-880		cells/L
151117.1	Flagellate	<	5		ICE11-881		cells/L
135484.3	Flagellate	<	5		ICE11-864		cells/L
13889.8	Flagellate	<	5		ICE11-944		cells/L
117246.4	Flagellate	<	5		ICE11-945		cells/L
229281.1	Flagellate	<	5		ICE11-947		cells/L
72953.9	Flagellate	<	5		ICE11-930		cells/L
88585.9	Flagellate	<	5		ICE11-992		cells/L
13273.4	Flagellate	<	5		ICE11-993		cells/L
28139.5	Flagellate	<	5		ICE11-994		cells/L
83375	Flagellate	<	5		ICE11-995		cells/L
88585.9	Flagellate	<	5		ICE11-996		cells/L
91191.4	Flagellate	<	5		ICE11-1058		cells/L
8769.5	Flagellate	<	5		ICE11-1059		cells/L
276179.6	Flagellate	<	5		ICE11-1060		cells/L
75558.6	Flagellate	<	5		ICE11-1061		cells/L
93796.8	Flagellate	<	5		ICE11-1062		cells/L
119851.6	Flagellate	<	5		ICE11-1130		cells/L
119851.6	Flagellate	<	5		ICE11-1131		cells/L
2247.2	Flagellate	<	5		ICE11-1132		cells/L
9642.4	Flagellate	<	5		ICE11-1133		cells/L
54714.8	Flagellate	<	5		ICE11-1134		cells/L
122457	Flagellate	<	5		ICE11-1196		cells/L
8598.4	Flagellate	<	5		ICE11-1197		cells/L
23226.5	Flagellate	<	5		ICE11-1198		cells/L
127667.9	Flagellate	<	5		ICE11-1199		cells/L
119851.6	Flagellate	<	5		ICE11-1200		cells/L
75558.6	Flagellate	<	5		ICE11-1262		cells/L
72953.9	Flagellate	<	5		ICE11-1263		cells/L
19815.5	Flagellate	<	5		ICE11-1264		cells/L
83375	Flagellate	<	5		ICE11-1265		cells/L
16824.2	Flagellate	<	5		ICE11-1266		cells/L
11464.6	Flagellate	<	5		ICE11-1328		cells/L
158933.5	Flagellate	<	5		ICE11-1329		cells/L
23226.5	Flagellate	<	5		ICE11-1330		cells/L
997.8	Flagellate	<	5		ICE11-1331		cells/L
9642.4	Flagellate	<	5		ICE11-1332		cells/L
158933.5	Flagellate	<	5		ICE11-1399		cells/L
16824.2	Flagellate	<	5		ICE11-1400		cells/L
23226.5	Flagellate	<	5		ICE11-1401		cells/L
119851.6	Flagellate	<	5		ICE11-1402		cells/L
11235.2	Flagellate	<	5		ICE11-1403		cells/L
19284.6	Flagellate	<	5		ICE11-1472		cells/L
36476.5	Flagellate		5-10		ICE11-34		cells/L
11724.6	Flagellate		5-10		ICE11-96		cells/L
1421.9	Flagellate		5-10		ICE11-456		cells/L
31265.6	Flagellate		5-10		ICE11-175		cells/L
15632.9	Flagellate		5-10		ICE11-252		cells/L
23449.3	Flagellate		5-10				cells/L
2843.7	Flagellate		5-10		ICE11-330		cells/L
41687.5	Flagellate		5-10		ICE11-331		cells/L
31265.6	Flagellate		5-10		ICE11-332		cells/L
36476.5	Flagellate		5-10		ICE11-333		cells/L
41687.5	Flagellate		5-10		ICE11-334		cells/L
2654.7	Flagellate		5-10				cells/L
18238.3	Flagellate		5-10		ICE11-418		cells/L
54714.8	Flagellate		5-10		ICE11-667		cells/L
15632.9	Flagellate		5-10		ICE11-775		cells/L
31265.6	Flagellate		5-10		ICE11-776		cells/L
23449.3	Flagellate		5-10		ICE11-777		cells/L
62531.2	Flagellate		5-10		ICE11-778		cells/L
3982.1	Flagellate		5-10		ICE11-745		cells/L
46898.4	Flagellate		5-10				cells/L
7816.4	Flagellate		5-10		ICE11-878		cells/L
33871.8	Flagellate		5-10		ICE11-879		cells/L
44292.9	Flagellate		5-10		ICE11-880		cells/L
3982.1	Flagellate		5-10		ICE11-881		cells/L
41687.5	Flagellate		5-10		ICE11-864		cells/L
18238.3	Flagellate		5-10		ICE11-944		cells/L
3982.1	Flagellate		5-10		ICE11-945		cells/L
2654.7	Flagellate		5-10		ICE11-947		cells/L
31265.6	Flagellate		5-10		ICE11-930		cells/L
1421.9	Flagellate		5-10		ICE11-992		cells/L
18238.3	Flagellate		5-10		ICE11-993		cells/L
46898.4	Flagellate		5-10		ICE11-994		cells/L
33871.8	Flagellate		5-10		ICE11-995		cells/L
44292.9	Flagellate		5-10		ICE11-996		cells/L
1327.3	Flagellate		5-10		ICE11-1058		cells/L
33871.8	Flagellate		5-10		ICE11-1059		cells/L
5219.4	Flagellate		5-10		ICE11-1060		cells/L
2654.7	Flagellate		5-10		ICE11-1061		cells/L
2654.7	Flagellate		5-10		ICE11-1062		cells/L
15632.9	Flagellate		5-10		ICE11-1130		cells/L
2843.7	Flagellate		5-10		ICE11-1131		cells/L
46898.4	Flagellate		5-10		ICE11-1132		cells/L
2843.7	Flagellate		5-10		ICE11-1133		cells/L
1421.9	Flagellate		5-10		ICE11-1134		cells/L
18238.3	Flagellate		5-10		ICE11-1196		cells/L
2654.7	Flagellate		5-10		ICE11-1197		cells/L
5732.3	Flagellate		5-10		ICE11-1198		cells/L
23449.3	Flagellate		5-10		ICE11-1199		cells/L
2654.7	Flagellate		5-10		ICE11-1200		cells/L
1327.3	Flagellate		5-10		ICE11-1262		cells/L
1327.3	Flagellate		5-10		ICE11-1263		cells/L
41687.5	Flagellate		5-10		ICE11-1264		cells/L
15632.9	Flagellate		5-10		ICE11-1265		cells/L
33871.8	Flagellate		5-10		ICE11-1266		cells/L
31265.6	Flagellate		5-10		ICE11-1328		cells/L
44292.9	Flagellate		5-10		ICE11-1329		cells/L
5732.3	Flagellate		5-10		ICE11-1330		cells/L
44292.9	Flagellate		5-10		ICE11-1331		cells/L
44292.9	Flagellate		5-10		ICE11-1332		cells/L
33871.8	Flagellate		5-10		ICE11-1399		cells/L
5219.4	Flagellate		5-10		ICE11-1400		cells/L
46898.4	Flagellate		5-10		ICE11-1401		cells/L
31265.6	Flagellate		5-10		ICE11-1402		cells/L
2654.7	Flagellate		5-10		ICE11-1403		cells/L
62531.2	Flagellate		5-10		ICE11-1472		cells/L
18238.3	Dinoflagellatae	>	10		ICE11-34		cells/L
6513.7	Dinoflagellatae	>	10		ICE11-96		cells/L
132.7	Dinoflagellatae	>	10		ICE11-456		cells/L
23449.3	Dinoflagellatae	>	10		ICE11-175		cells/L
1327.3	Dinoflagellatae	>	10		ICE11-252		cells/L
7816.4	Dinoflagellatae	>	10				cells/L
265.5	Dinoflagellatae	>	10		ICE11-330		cells/L
2843.7	Dinoflagellatae	>	10		ICE11-331		cells/L
18238.3	Dinoflagellatae	>	10		ICE11-332		cells/L
2843.7	Dinoflagellatae	>	10		ICE11-333		cells/L
15632.9	Dinoflagellatae	>	10		ICE11-334		cells/L
7816.4	Dinoflagellatae	>	10				cells/L
1421.9	Dinoflagellatae	>	10		ICE11-418		cells/L
7816.4	Dinoflagellatae	>	10		ICE11-667		cells/L
265.5	Dinoflagellatae	>	10		ICE11-775		cells/L
7816.4	Dinoflagellatae	>	10		ICE11-776		cells/L
265.5	Dinoflagellatae	>	10		ICE11-777		cells/L
41687.5	Dinoflagellatae	>	10		ICE11-778		cells/L
23449.3	Dinoflagellatae	>	10		ICE11-745		cells/L
18238.3	Dinoflagellatae	>	10				cells/L
7816.4	Dinoflagellatae	>	10		ICE11-878		cells/L
18238.3	Dinoflagellatae	>	10		ICE11-879		cells/L
15632.9	Dinoflagellatae	>	10		ICE11-880		cells/L
2843.7	Dinoflagellatae	>	10		ICE11-881		cells/L
15632.9	Dinoflagellatae	>	10		ICE11-864		cells/L
521.9	Dinoflagellatae	>	10		ICE11-944		cells/L
521.9	Dinoflagellatae	>	10		ICE11-945		cells/L
15632.9	Dinoflagellatae	>	10		ICE11-947		cells/L
1327.3	Dinoflagellatae	>	10		ICE11-930		cells/L
265.5	Dinoflagellatae	>	10		ICE11-992		cells/L
1421.9	Dinoflagellatae	>	10		ICE11-993		cells/L
23449.3	Dinoflagellatae	>	10		ICE11-994		cells/L
1327.3	Dinoflagellatae	>	10		ICE11-995		cells/L
265.5	Dinoflagellatae	>	10		ICE11-996		cells/L
1421.9	Dinoflagellatae	>	10		ICE11-1058		cells/L
31265.6	Dinoflagellatae	>	10		ICE11-1059		cells/L
36476.5	Dinoflagellatae	>	10		ICE11-1060		cells/L
15632.9	Dinoflagellatae	>	10		ICE11-1061		cells/L
521.9	Dinoflagellatae	>	10		ICE11-1062		cells/L
1327.3	Dinoflagellatae	>	10		ICE11-1130		cells/L
15632.9	Dinoflagellatae	>	10		ICE11-1131		cells/L
36476.5	Dinoflagellatae	>	10		ICE11-1132		cells/L
521.9	Dinoflagellatae	>	10		ICE11-1133		cells/L
15632.9	Dinoflagellatae	>	10		ICE11-1134		cells/L
7816.4	Dinoflagellatae	>	10		ICE11-1196		cells/L
15632.9	Dinoflagellatae	>	10		ICE11-1197		cells/L
36476.5	Dinoflagellatae	>	10		ICE11-1198		cells/L
1327.3	Dinoflagellatae	>	10		ICE11-1199		cells/L
7816.4	Dinoflagellatae	>	10		ICE11-1200		cells/L
521.9	Dinoflagellatae	>	10		ICE11-1262		cells/L
2843.7	Dinoflagellatae	>	10		ICE11-1263		cells/L
2843.7	Dinoflagellatae	>	10		ICE11-1264		cells/L
7816.4	Dinoflagellatae	>	10		ICE11-1265		cells/L
1421.9	Dinoflagellatae	>	10		ICE11-1266		cells/L
521.9	Dinoflagellatae	>	10		ICE11-1328		cells/L
15632.9	Dinoflagellatae	>	10		ICE11-1329		cells/L
2843.7	Dinoflagellatae	>	10		ICE11-1330		cells/L
7816.4	Dinoflagellatae	>	10		ICE11-1331		cells/L
7816.4	Dinoflagellatae	>	10		ICE11-1332		cells/L
265.5	Dinoflagellatae	>	10		ICE11-1399		cells/L
265.5	Dinoflagellatae	>	10		ICE11-1400		cells/L
2843.7	Dinoflagellatae	>	10		ICE11-1401		cells/L
7816.4	Dinoflagellatae	>	10		ICE11-1402		cells/L
521.9	Dinoflagellatae	>	10		ICE11-1403		cells/L
41687.5	Dinoflagellatae	>	10		ICE11-1472		cells/L
265.5	Teleaulax sp.				ICE11-34		cells/L
132.7	Teleaulax sp.				ICE11-96		cells/L
132.7	Teleaulax sp.				ICE11-456		cells/L
1327.3	Teleaulax sp.				ICE11-175		cells/L
7816.4	Teleaulax sp.				ICE11-252		cells/L
521.9	Teleaulax sp.				ICE11-330		cells/L
1421.9	Teleaulax sp.				ICE11-331		cells/L
1421.9	Teleaulax sp.				ICE11-332		cells/L
15632.9	Teleaulax sp.				ICE11-333		cells/L
521.9	Teleaulax sp.				ICE11-334		cells/L
265.5	Teleaulax sp.						cells/L
521.9	Teleaulax sp.				ICE11-418		cells/L
265.5	Teleaulax sp.				ICE11-667		cells/L
265.5	Teleaulax sp.				ICE11-775		cells/L
2654.7	Teleaulax sp.				ICE11-776		cells/L
1327.3	Teleaulax sp.				ICE11-777		cells/L
521.9	Teleaulax sp.				ICE11-778		cells/L
1327.3	Teleaulax sp.				ICE11-745		cells/L
265.5	Teleaulax sp.						cells/L
521.9	Teleaulax sp.				ICE11-879		cells/L
2843.7	Teleaulax sp.				ICE11-880		cells/L
18238.3	Teleaulax sp.				ICE11-881		cells/L
7816.4	Teleaulax sp.				ICE11-864		cells/L
1421.9	Teleaulax sp.				ICE11-944		cells/L
2654.7	Teleaulax sp.				ICE11-945		cells/L
2843.7	Teleaulax sp.				ICE11-947		cells/L
15632.9	Teleaulax sp.				ICE11-930		cells/L
521.9	Teleaulax sp.				ICE11-992		cells/L
1421.9	Teleaulax sp.				ICE11-993		cells/L
2843.7	Teleaulax sp.				ICE11-994		cells/L
1327.3	Teleaulax sp.				ICE11-995		cells/L
2654.7	Teleaulax sp.				ICE11-996		cells/L
265.5	Teleaulax sp.				ICE11-1058		cells/L
1327.3	Teleaulax sp.				ICE11-1059		cells/L
15632.9	Teleaulax sp.				ICE11-1060		cells/L
18238.3	Teleaulax sp.				ICE11-1061		cells/L
1327.3	Teleaulax sp.				ICE11-1062		cells/L
521.9	Teleaulax sp.				ICE11-1130		cells/L
15632.9	Teleaulax sp.				ICE11-1131		cells/L
2654.7	Teleaulax sp.				ICE11-1132		cells/L
1327.3	Teleaulax sp.				ICE11-1133		cells/L
7816.4	Teleaulax sp.				ICE11-1134		cells/L
7816.4	Teleaulax sp.				ICE11-1196		cells/L
521.9	Teleaulax sp.				ICE11-1197		cells/L
15632.9	Teleaulax sp.				ICE11-1198		cells/L
15632.9	Teleaulax sp.				ICE11-1199		cells/L
1421.9	Teleaulax sp.				ICE11-1200		cells/L
521.9	Teleaulax sp.				ICE11-1262		cells/L
265.5	Teleaulax sp.				ICE11-1263		cells/L
1421.9	Teleaulax sp.				ICE11-1264		cells/L
7816.4	Teleaulax sp.				ICE11-1265		cells/L
1327.3	Teleaulax sp.				ICE11-1266		cells/L
265.5	Teleaulax sp.				ICE11-1328		cells/L
15632.9	Teleaulax sp.				ICE11-1329		cells/L
1421.9	Teleaulax sp.				ICE11-1330		cells/L
521.9	Teleaulax sp.				ICE11-1331		cells/L
1421.9	Teleaulax sp.				ICE11-1332		cells/L
1421.9	Teleaulax sp.				ICE11-1399		cells/L
15632.9	Teleaulax sp.				ICE11-1400		cells/L
521.9	Teleaulax sp.				ICE11-1401		cells/L
521.9	Teleaulax sp.				ICE11-1402		cells/L
7816.4	Teleaulax sp.				ICE11-1403		cells/L
1421.9	Teleaulax sp.				ICE11-1472		cells/L
521.9	Choanoflagellata						cells/L
265.5	Choanoflagellata				ICE11-418		cells/L
521.9	Choanoflagellata				ICE11-778		cells/L
265.5	Choanoflagellata				ICE11-878		cells/L
265.5	Choanoflagellata				ICE11-881		cells/L
521.9	Choanoflagellata				ICE11-945		cells/L
521.9	Choanoflagellata				ICE11-947		cells/L
265.5	Choanoflagellata				ICE11-992		cells/L
265.5	Choanoflagellata				ICE11-993		cells/L
521.9	Choanoflagellata				ICE11-1060		cells/L
521.9	Choanoflagellata				ICE11-1132		cells/L
521.9	Choanoflagellata				ICE11-1198		cells/L
1421.9	Choanoflagellata				ICE11-1199		cells/L
265.5	Choanoflagellata				ICE11-1266		cells/L
521.9	Choanoflagellata				ICE11-1330		cells/L
265.5	Choanoflagellata				ICE11-1400		cells/L
1421.9	Choanoflagellata				ICE11-1401		cells/L
521.9	Choanoflagellata				ICE11-1472		cells/L
132.7	Leucocryptos marina			cf.	ICE11-96		cells/L
132.7	Leucocryptos marina			cf.	ICE11-456		cells/L
521.9	Leucocryptos marina			cf.	ICE11-175		cells/L
265.5	Leucocryptos marina			cf.	ICE11-331		cells/L
521.9	Leucocryptos marina			cf.	ICE11-332		cells/L
521.9	Leucocryptos marina			cf.	ICE11-333		cells/L
265.5	Leucocryptos marina			cf.	ICE11-418		cells/L
521.9	Leucocryptos marina			cf.	ICE11-667		cells/L
265.5	Leucocryptos marina			cf.	ICE11-776		cells/L
265.5	Leucocryptos marina			cf.	ICE11-777		cells/L
521.9	Leucocryptos marina			cf.	ICE11-778		cells/L
1421.9	Leucocryptos marina			cf.	ICE11-745		cells/L
265.5	Leucocryptos marina			cf.			cells/L
265.5	Leucocryptos marina			cf.	ICE11-878		cells/L
265.5	Leucocryptos marina			cf.	ICE11-879		cells/L
521.9	Leucocryptos marina			cf.	ICE11-880		cells/L
521.9	Leucocryptos marina			cf.	ICE11-881		cells/L
521.9	Leucocryptos marina			cf.	ICE11-864		cells/L
265.5	Leucocryptos marina			cf.	ICE11-945		cells/L
521.9	Leucocryptos marina			cf.	ICE11-947		cells/L
521.9	Leucocryptos marina			cf.	ICE11-930		cells/L
