"name"	"no"	"station "	"depth [m]"	"data"	"V-taken [ml]"	"Vth filtered [L]"	"V bottle [ml]"	"Class/Phylum"	"takson"	"takson_add"	"Taxon_full"	"AphiaID"	"K"	"N"	"fields"	"magn"	"cells in chamb"	"cells in V bottle [ml]"	"cells in 1000 ml"	"Gear"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Chrysophyceae  "	"Chrysophyceae non det."	"cyst"	"Dinobryon spp. cyst"		16635.11	3	217	60	229.978479262673	4599.56958525346	4599.56958525346	"niskin"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Prymnesiophyceae "	"Coccolithales "	"non.det"	"Coccolithales  non.det"		16635.11	2	217	60	153.318986175115	3066.3797235023	3066.3797235023	"niskin"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Flagellatae non det."	"Flagellatae non det."	"5-10um"	"Flagellatae 5-10um"		16635.11	9	217	60	689.935437788018	13798.7087557604	13798.7087557604	"niskin"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Flagellatae non det."	"Flagellatae non det."	"<5um"	"Flagellatae <5um"		16635.11	4	217	60	306.63797235023	6132.75944700461	6132.75944700461	"niskin"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. cf g. gracilentum"	"Gymnodinium sp. cf. G. gracilentum"		16635.11	20	217	60	1533.18986175115	30663.797235023	30663.797235023	"niskin"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. 10-20um"	"Gymnodinium sp. 10-20um"		16635.11	1	217	60	76.6594930875576	1533.18986175115	1533.18986175115	"niskin"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. „krasnal”"	"Gymnodinium sp. „krasnal”"		16635.11	1	217	60	76.6594930875576	1533.18986175115	1533.18986175115	"niskin"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium galeatum"		"Gymnodinium galeatum "		16635.11	2	217	60	153.318986175115	3066.3797235023	3066.3797235023	"niskin"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium simplex"		"Gymnodinium simplex "	109831	16635.11	1	217	60	76.6594930875576	1533.18986175115	1533.18986175115	"niskin"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Dinophyceae "	"Gyrodinium flagellare"		"Gyrodinium flagellare  "		16635.11	1	217	60	76.6594930875576	1533.18986175115	1533.18986175115	"niskin"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Dinophyceae "	"Gyrodinium fusiforme"		"Gyrodinium fusiforme "		16635.11	1	217	60	76.6594930875576	1533.18986175115	1533.18986175115	"niskin"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Dinophyceae "	"Heterocapsa rotundata"		"Heterocapsa rotundata "		16635.11	2	217	60	153.318986175115	3066.3797235023	3066.3797235023	"niskin"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Choanoflagellatea "	"Monosiga marina"		"Monosiga marina "		16635.11	1	217	60	76.6594930875576	1533.18986175115	1533.18986175115	"niskin"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Prymnesiophyceae "	"Phaeocystis pouchetii"		"Phaeocystis pouchetii "		16635.11	2	217	60	153.318986175115	3066.3797235023	3066.3797235023	"niskin"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Dinophyceae "	"Prorocentrum"	"sp."	"Prorocentrum sp."		16635.11	1	217	60	76.6594930875576	1533.18986175115	1533.18986175115	"niskin"
"MOSJ13"	390	"KB1"	50	2013-07-23	50	1	1000	"Telonemea"	"Telonema"	"sp."	"Telonema sp."		16635.11	1	217	60	76.6594930875576	1533.18986175115	1533.18986175115	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Dinophyceae "	"Alexandrium"	"sp."	"Alexandrium sp."	109470	16635.11	1	204	60	81.5446568627451	1630.8931372549	1630.8931372549	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Prymnesiophyceae "	"Algirosphaera"	"sp."	"Algirosphaera robusta "	235910	16635.11	1	204	60	81.5446568627451	1630.8931372549	1630.8931372549	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Prymnesiophyceae "	"Coccolithales "	"non.det"	"Coccolithales  non.det"		16635.11	1	204	60	81.5446568627451	1630.8931372549	1630.8931372549	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Cryptophyceae "	"Cryptomonas"	"sp."	"Cryptomonas sp."	106282	16635.11	21	204	60	1712.43779411765	34248.7558823529	34248.7558823529	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Bacillariophyceae "	"Ceratoneis closterium "	"old Cylindrotheca closterium"	"Ceratoneis closterium "	163932	16635.11	1	204	60	81.5446568627451	1630.8931372549	1630.8931372549	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Chrysophyceae  "	"Dinobryon faculiferum"		"Dinobryon faculiferum "		16635.11	1	204	60	81.5446568627451	1630.8931372549	1630.8931372549	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Flagellatae non det."	"Flagellatae non det."	"<5um"	"Flagellatae <5um"		16635.11	31	204	60	2527.8843627451	50557.687254902	50557.687254902	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Flagellatae non det."	"Flagellatae non det."	"5-10um"	"Flagellatae 5-10um"		16635.11	50	190	60	4377.66052631579	87553.2105263158	87553.2105263158	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Bacillariophyceae "	"Fragilariopsis cylindrus"		"Fragilariopsis cylindrus "		16635.11	7	204	60	570.812598039216	11416.2519607843	11416.2519607843	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. cf g.wulffii"	"Gymnodinium sp. cf. G. wulffii"		16635.11	4	204	60	326.17862745098	6523.57254901961	6523.57254901961	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. cf g.arcticum"	"Gymnodinium sp. cf. G. arcticum"		16635.11	5	204	60	407.723284313726	8154.46568627451	8154.46568627451	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. cf g. gracilentum"	"Gymnodinium sp. cf. G. gracilentum"		16635.11	11	204	60	896.991225490196	17939.8245098039	17939.8245098039	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium galeatum"		"Gymnodinium galeatum "		16635.11	3	204	60	244.633970588235	4892.67941176471	4892.67941176471	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Dinophyceae "	"Gyrodinium flagellare"		"Gyrodinium flagellare  "		16635.11	1	204	60	81.5446568627451	1630.8931372549	1630.8931372549	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Cryptophyceae "	"Leucocryptos marina"		"Leucocryptos marina "		16635.11	1	204	60	81.5446568627451	1630.8931372549	1630.8931372549	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Oligotrichea"	"Lohmanniella oviformis"		"Lohmanniella oviformis "		16635.11	4	204	60	326.17862745098	6523.57254901961	6523.57254901961	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Xanthophyceae  "	"Meringosphaera"	"sp."	"Meringosphaera sp."		16635.11	1	204	60	81.5446568627451	1630.8931372549	1630.8931372549	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Litostomatea "	"Mesodinium rubrum "		"Mesodinium rubrum  "		16635.11	1	204	60	81.5446568627451	1630.8931372549	1630.8931372549	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Choanoflagellatea "	"Monosiga"	"sp."	"Monosiga marina "		16635.11	44	204	60	3587.96490196078	71759.2980392157	71759.2980392157	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Choanoflagellatea "	"Monosiga marina"		"Monosiga marina "		16635.11	19	204	60	1549.34848039216	30986.9696078431	30986.9696078431	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Prasinophyceae"	"Pachysphaera"	"sp."	"Pachysphaera sp."		16635.11	1	204	60	81.5446568627451	1630.8931372549	1630.8931372549	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Prymnesiophyceae "	"Phaeocystis pouchetii"		"Phaeocystis pouchetii "		16635.11	3	204	60	244.633970588235	4892.67941176471	4892.67941176471	"niskin"
"MOSJ13"	391	"KB1"	25	2013-07-23	50	1	1000	"Dinophyceae "	"Prorocentrum"	"sp."	"Prorocentrum sp."		16635.11	2	204	60	163.08931372549	3261.7862745098	3261.7862745098	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Chlorophyceae  "	"Chlamydomonas"	"sp."	"Chlamydomonas sp."	178583	16635.11	2	222	60	149.865855855856	2997.31711711712	2997.31711711712	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Chrysophyceae  "	"Chrysophyceae non det."	"cyst"	"Dinobryon spp. cyst"		16635.11	1	222	60	74.9329279279279	1498.65855855856	1498.65855855856	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Prymnesiophyceae "	"Coccolithales "	"non.det"	"Coccolithales  non.det"		16635.11	37	222	60	2772.51833333333	55450.3666666667	55450.3666666667	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Cryptophyceae "	"Cryptomonas"	"sp."	"Cryptomonas sp."	106282	16635.11	40	222	60	2997.31711711712	59946.3423423423	59946.3423423423	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Bacillariophyceae "	"Ceratoneis closterium "	"old Cylindrotheca closterium"	"Ceratoneis closterium "	163932	16635.11	1	222	60	74.9329279279279	1498.65855855856	1498.65855855856	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Chrysophyceae  "	"Dinobryon faculiferum"		"Dinobryon faculiferum "		16635.11	1	222	60	74.9329279279279	1498.65855855856	1498.65855855856	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Flagellatae non det."	"Flagellatae non det."	"<5um"	"Flagellatae <5um"		16635.11	6	222	60	449.597567567568	8991.95135135135	8991.95135135135	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Flagellatae non det."	"Flagellatae non det."	"5-10um"	"Flagellatae 5-10um"		16635.11	50	94	60	8848.46276595745	176969.255319149	176969.255319149	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. 10-20um"	"Gymnodinium sp. 10-20um"		16635.11	7	222	60	524.530495495496	10490.6099099099	10490.6099099099	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. „krasnal”"	"Gymnodinium sp. „krasnal”"		16635.11	1	222	60	74.9329279279279	1498.65855855856	1498.65855855856	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. cf g. gracilentum"	"Gymnodinium sp. cf. G. gracilentum"		16635.11	11	222	60	824.262207207207	16485.2441441442	16485.2441441442	"niskin"
"MOSJ13"	392	"KB1"	10	2013-07-23	50	1	1000	"Dinophyceae "	"Gymnodinium"	"sp. cf g.wulffii"	"Gymnodinium sp. cf. G. wulffii"		16635.11	2	222	60	149.865855855856	2997.31711711712	2997.31711711712	"niskin"
