taxon	qualifier	stage	density	unit	op	length	sample
"Calanus hyperboreus"		CV	2.5	N/m³			"97Kb6 MN-2"
"Calanus hyperboreus"		CIII	1.25	N/m³			"97Kb6 MN-2"
"Thysanoessa raschii"			0.83	N/m³			"97Kb6 MN-2"
"Fritillaria borealis"			0.83	N/m³			"97Kb6 MN-2"
"Pseudocalanus spp."		AM	0.83	N/m³			"97Kb6 MN-2"
"Pseudocalanus spp."		CI-CIII	35.42	N/m³			"97Kb6 MN-2"
"Bradyidius similis"		CIV	2.08	N/m³			"97Kb6 MN-2"
"Bradyidius similis"		CV	4.58	N/m³			"97Kb6 MN-2"
"Bradyidius similis"		CIII	1.25	N/m³			"97Kb6 MN-2"
Echinodermata		larvae	0.42	N/m³			"97Kb6 MN-2"
"Themisto abyssorum"			0.23	N/m³			"97Kb6 MN-3"
"Themisto libellula"			1.13	N/m³			"97Kb6 MN-3"
"Calanus finmarchicus"		AF	14.01	N/m³			"97Kb6 MN-3"
"Calanus finmarchicus"		CIV	149.83	N/m³			"97Kb6 MN-3"
"Calanus finmarchicus"		CV	17.63	N/m³			"97Kb6 MN-3"
"Calanus finmarchicus"		CIII	149.83	N/m³			"97Kb6 MN-3"
"Calanus finmarchicus"		CI	96.05	N/m³			"97Kb6 MN-3"
"Calanus finmarchicus"		CII	101.7	N/m³			"97Kb6 MN-3"
"Calanus glacialis"		AF	1.58	N/m³			"97Kb6 MN-3"
"Calanus glacialis"		CIV	96.05	N/m³			"97Kb6 MN-3"
"Calanus glacialis"		CV	23.95	N/m³			"97Kb6 MN-3"
"Calanus glacialis"		CIII	121.58	N/m³			"97Kb6 MN-3"
"Calanus glacialis"		CI	1.36	N/m³			"97Kb6 MN-3"
"Calanus glacialis"		CII	7.01	N/m³			"97Kb6 MN-3"
"Metridia longa"		CIV	0.23	N/m³			"97Kb6 MN-3"
"Metridia longa"		CV	0.23	N/m³			"97Kb6 MN-3"
"Metridia longa"		CIII	0.45	N/m³			"97Kb6 MN-3"
"Metridia longa"		AM	0.23	N/m³			"97Kb6 MN-3"
"Metridia longa"		CI	1.81	N/m³			"97Kb6 MN-3"
"Microcalanus spp."			24.41	N/m³			"97Kb6 MN-3"
"Oithona atlantica"			0.68	N/m³			"97Kb6 MN-3"
"Oithona similis"			912.55	N/m³			"97Kb6 MN-3"
"Triconia borealis"			9.49	N/m³			"97Kb6 MN-3"
"Sagitta elegans"			2.26	N/m³			"97Kb6 MN-3"
"Thysanoessa inermis"			0.9	N/m³			"97Kb6 MN-3"
"Acartia longiremis"		CI-CV	0.68	N/m³			"97Kb6 MN-3"
"Pseudocalanus acuspes"		AF	10.62	N/m³			"97Kb6 MN-3"
"Pseudocalanus acuspes"		CIV	36.84	N/m³			"97Kb6 MN-3"
"Pseudocalanus minutus"		AF	14.46	N/m³			"97Kb6 MN-3"
"Pseudocalanus minutus"		CV	47.91	N/m³			"97Kb6 MN-3"
Copepoda		nauplii	166.78	N/m³			"97Kb6 MN-3"
"Calanus hyperboreus"		CIV	37.74	N/m³			"97Kb6 MN-3"
"Calanus hyperboreus"		CV	0.9	N/m³			"97Kb6 MN-3"
"Calanus hyperboreus"		CIII	0.9	N/m³			"97Kb6 MN-3"
"Calanus hyperboreus"		CII	0.23	N/m³			"97Kb6 MN-3"
"Thysanoessa raschii"			0.23	N/m³			"97Kb6 MN-3"
"Fritillaria borealis"			0.68	N/m³			"97Kb6 MN-3"
Bopyridae			0.23	N/m³			"97Kb6 MN-3"
"Pseudocalanus spp."		AM	1.13	N/m³			"97Kb6 MN-3"
"Pseudocalanus spp."		CI-CIII	141.24	N/m³			"97Kb6 MN-3"
"Bradyidius similis"		CIV	1.13	N/m³			"97Kb6 MN-3"
"Bradyidius similis"		CV	0.68	N/m³			"97Kb6 MN-3"
"Bradyidius similis"		CIII	0.68	N/m³			"97Kb6 MN-3"
"Bradyidius similis"		CI	0.45	N/m³			"97Kb6 MN-3"
Gastropoda		veliger	1.36	N/m³			"97Kb6 MN-3"
"Themisto libellula"			0.32	N/m³			"97Kb6 MN-4"
"Calanus finmarchicus"		AF	39.05	N/m³			"97Kb6 MN-4"
"Calanus finmarchicus"		CIV	73.97	N/m³			"97Kb6 MN-4"
"Calanus finmarchicus"		CV	13.65	N/m³			"97Kb6 MN-4"
"Calanus finmarchicus"		CIII	64.76	N/m³			"97Kb6 MN-4"
"Calanus finmarchicus"		CI	56.83	N/m³			"97Kb6 MN-4"
"Calanus finmarchicus"		CII	39.68	N/m³			"97Kb6 MN-4"
"Calanus glacialis"		AF	0.95	N/m³			"97Kb6 MN-4"
"Calanus glacialis"		CIV	59.68	N/m³			"97Kb6 MN-4"
"Calanus glacialis"		CV	17.46	N/m³			"97Kb6 MN-4"
"Calanus glacialis"		CIII	19.05	N/m³			"97Kb6 MN-4"
"Calanus glacialis"		CI	0.95	N/m³			"97Kb6 MN-4"
"Metridia longa"		AF	0.32	N/m³			"97Kb6 MN-4"
"Microcalanus spp."			5.71	N/m³			"97Kb6 MN-4"
"Oithona atlantica"			0.95	N/m³			"97Kb6 MN-4"
"Oithona similis"			473.65	N/m³			"97Kb6 MN-4"
"Triconia borealis"			3.17	N/m³			"97Kb6 MN-4"
"Limacina helicina"		veliger	0.95	N/m³			"97Kb6 MN-4"
"Sagitta elegans"			0.63	N/m³			"97Kb6 MN-4"
"Pseudocalanus acuspes"		AF	1.9	N/m³			"97Kb6 MN-4"
"Pseudocalanus acuspes"		CIV	16.83	N/m³			"97Kb6 MN-4"
"Pseudocalanus minutus"		AF	4.44	N/m³			"97Kb6 MN-4"
"Pseudocalanus minutus"		CV	23.81	N/m³			"97Kb6 MN-4"
Copepoda		nauplii	60.95	N/m³			"97Kb6 MN-4"
"Calanus hyperboreus"		CIV	3.17	N/m³			"97Kb6 MN-4"
"Calanus hyperboreus"		CV	0.32	N/m³			"97Kb6 MN-4"
"Fritillaria borealis"			0.95	N/m³			"97Kb6 MN-4"
"Pseudocalanus spp."		AM	1.27	N/m³			"97Kb6 MN-4"
"Pseudocalanus spp."		CI-CIII	97.78	N/m³			"97Kb6 MN-4"
"Bradyidius similis"		CIV	0.32	N/m³			"97Kb6 MN-4"
"Bradyidius similis"		CIII	0.32	N/m³			"97Kb6 MN-4"
Echinodermata		larvae	2.54	N/m³			"97Kb6 MN-4"
Gastropoda		veliger	1.59	N/m³			"97Kb6 MN-4"
Bivalvia		veliger	0.95	N/m³			"97Kb6 MN-4"
"Themisto libellula"			6.32	N/m³			"97Kb5 MN-1"
"Calanus finmarchicus"		AF	9.47	N/m³			"97Kb5 MN-1"
"Calanus finmarchicus"		CIV	58.6	N/m³			"97Kb5 MN-1"
"Calanus finmarchicus"		CV	13.33	N/m³			"97Kb5 MN-1"
"Calanus finmarchicus"		CIII	32.28	N/m³			"97Kb5 MN-1"
"Calanus finmarchicus"		CI	6.32	N/m³			"97Kb5 MN-1"
"Calanus finmarchicus"		CII	22.11	N/m³			"97Kb5 MN-1"
"Calanus glacialis"		AF	2.46	N/m³			"97Kb5 MN-1"
"Calanus glacialis"		CIV	230.88	N/m³			"97Kb5 MN-1"
"Calanus glacialis"		CV	114.04	N/m³			"97Kb5 MN-1"
"Calanus glacialis"		CIII	106.67	N/m³			"97Kb5 MN-1"
"Calanus glacialis"		CII	2.81	N/m³			"97Kb5 MN-1"
"Metridia longa"		AF	0.35	N/m³			"97Kb5 MN-1"
"Metridia longa"		CV	0.35	N/m³			"97Kb5 MN-1"
"Metridia longa"		AM	0.35	N/m³			"97Kb5 MN-1"
"Microcalanus spp."			25.61	N/m³			"97Kb5 MN-1"
"Oithona atlantica"			1.05	N/m³			"97Kb5 MN-1"
"Oithona similis"			111.23	N/m³			"97Kb5 MN-1"
"Triconia borealis"			4.56	N/m³			"97Kb5 MN-1"
"Limacina helicina"		veliger	0.35	N/m³			"97Kb5 MN-1"
Polychaeta		"larvae trochophora"	0.35	N/m³			"97Kb5 MN-1"
"Thysanoessa inermis"			0.35	N/m³			"97Kb5 MN-1"
"Acartia longiremis"		CI-CV	0.35	N/m³			"97Kb5 MN-1"
"Neoscolecithrix farrani"		AF	2.11	N/m³			"97Kb5 MN-1"
"Neoscolecithrix farrani"		CV	0.35	N/m³			"97Kb5 MN-1"
"Neoscolecithrix farrani"		CIII	2.46	N/m³			"97Kb5 MN-1"
"Neoscolecithrix farrani"		AM	3.51	N/m³			"97Kb5 MN-1"
"Pseudocalanus acuspes"		AF	1.75	N/m³			"97Kb5 MN-1"
"Pseudocalanus acuspes"		CIV	9.82	N/m³			"97Kb5 MN-1"
"Pseudocalanus minutus"		AF	1.05	N/m³			"97Kb5 MN-1"
"Pseudocalanus minutus"		CV	61.4	N/m³			"97Kb5 MN-1"
Copepoda		nauplii	13.33	N/m³			"97Kb5 MN-1"
"Calanus hyperboreus"		CIV	14.04	N/m³			"97Kb5 MN-1"
"Calanus hyperboreus"		CV	3.86	N/m³			"97Kb5 MN-1"
"Calanus hyperboreus"		CIII	1.75	N/m³			"97Kb5 MN-1"
"Thysanoessa raschii"			0.35	N/m³			"97Kb5 MN-1"
"Pseudocalanus spp."		CI-CIII	11.58	N/m³			"97Kb5 MN-1"
"Bradyidius similis"		CIV	2.11	N/m³			"97Kb5 MN-1"
"Bradyidius similis"		CV	3.51	N/m³			"97Kb5 MN-1"
"Bradyidius similis"		CIII	11.58	N/m³			"97Kb5 MN-1"
"Bradyidius similis"		CI	1.75	N/m³			"97Kb5 MN-1"
Bivalvia		veliger	1.75	N/m³			"97Kb5 MN-1"
"Themisto abyssorum"			0.43	N/m³			"97Kb5 MN-2"
"Themisto libellula"			3.29	N/m³			"97Kb5 MN-2"
"Calanus finmarchicus"		AF	54.55	N/m³			"97Kb5 MN-2"
"Calanus finmarchicus"		CIV	210.65	N/m³			"97Kb5 MN-2"
"Calanus finmarchicus"		CV	24.24	N/m³			"97Kb5 MN-2"
"Calanus finmarchicus"		CIII	210.65	N/m³			"97Kb5 MN-2"
"Calanus finmarchicus"		CI	178.96	N/m³			"97Kb5 MN-2"
"Calanus finmarchicus"		CII	144.33	N/m³			"97Kb5 MN-2"
"Calanus glacialis"		AF	3.46	N/m³			"97Kb5 MN-2"
"Calanus glacialis"		CIV	88.31	N/m³			"97Kb5 MN-2"
"Calanus glacialis"		CV	55.41	N/m³			"97Kb5 MN-2"
"Calanus glacialis"		CIII	76.19	N/m³			"97Kb5 MN-2"
"Calanus glacialis"		CII	1.73	N/m³			"97Kb5 MN-2"
"Metridia longa"		CIV	1.47	N/m³			"97Kb5 MN-2"
"Metridia longa"		CV	0.26	N/m³			"97Kb5 MN-2"
"Metridia longa"		AM	0.26	N/m³			"97Kb5 MN-2"
"Microcalanus spp."			36.36	N/m³			"97Kb5 MN-2"
"Oithona atlantica"			0.87	N/m³			"97Kb5 MN-2"
"Oithona similis"			776.36	N/m³			"97Kb5 MN-2"
"Triconia borealis"			12.99	N/m³			"97Kb5 MN-2"
"Limacina helicina"		veliger	1.13	N/m³			"97Kb5 MN-2"
"Sagitta elegans"			4.33	N/m³			"97Kb5 MN-2"
"Eukrohnia hamata"			0.09	N/m³			"97Kb5 MN-2"
"Thysanoessa inermis"			0.09	N/m³			"97Kb5 MN-2"
"Thysanoessa longicaudata"			0.09	N/m³			"97Kb5 MN-2"
"Acartia longiremis"		AF	1.04	N/m³			"97Kb5 MN-2"
"Acartia longiremis"		CI-CV	2.34	N/m³			"97Kb5 MN-2"
"Neoscolecithrix farrani"		AF	0.09	N/m³			"97Kb5 MN-2"
"Neoscolecithrix farrani"		CIV	0.09	N/m³			"97Kb5 MN-2"
"Neoscolecithrix farrani"		CIII	0.26	N/m³			"97Kb5 MN-2"
"Neoscolecithrix farrani"		AM	0.43	N/m³			"97Kb5 MN-2"
"Pseudocalanus acuspes"		AF	4.07	N/m³			"97Kb5 MN-2"
"Pseudocalanus acuspes"		CIV	71	N/m³			"97Kb5 MN-2"
"Pseudocalanus minutus"		AF	11	N/m³			"97Kb5 MN-2"
"Pseudocalanus minutus"		CV	91.77	N/m³			"97Kb5 MN-2"
Copepoda		nauplii	279.91	N/m³			"97Kb5 MN-2"
"Calanus hyperboreus"		AF	0.17	N/m³			"97Kb5 MN-2"
"Calanus hyperboreus"		CIV	35.76	N/m³			"97Kb5 MN-2"
"Calanus hyperboreus"		CV	2.94	N/m³			"97Kb5 MN-2"
"Calanus hyperboreus"		CIII	2.42	N/m³			"97Kb5 MN-2"
"Fritillaria borealis"			1.13	N/m³			"97Kb5 MN-2"
Bopyridae			0.09	N/m³			"97Kb5 MN-2"
"Pseudocalanus spp."		AM	2.08	N/m³			"97Kb5 MN-2"
"Pseudocalanus spp."		CI-CIII	201.99	N/m³			"97Kb5 MN-2"
"Bradyidius similis"		CIV	2.42	N/m³			"97Kb5 MN-2"
"Bradyidius similis"		CV	5.19	N/m³			"97Kb5 MN-2"
"Bradyidius similis"		CIII	3.64	N/m³			"97Kb5 MN-2"
"Bradyidius similis"		CI	0.78	N/m³			"97Kb5 MN-2"
"Bradyidius similis"		CII	0.09	N/m³			"97Kb5 MN-2"
Gastropoda		veliger	3.46	N/m³			"97Kb5 MN-2"
"Sabinea septemcarinata"	cf.	zoea	0.09	N/m³			"97Kb5 MN-2"
Bivalvia		veliger	0.17	N/m³			"97Kb5 MN-2"
"Calanus finmarchicus"		AF	0.89	N/m³			"97Kb5 MN-3"
"Calanus finmarchicus"		CIV	4.89	N/m³			"97Kb5 MN-3"
"Calanus finmarchicus"		CV	0.44	N/m³			"97Kb5 MN-3"
"Calanus finmarchicus"		CIII	15.11	N/m³			"97Kb5 MN-3"
"Calanus finmarchicus"		CI	30.22	N/m³			"97Kb5 MN-3"
"Calanus finmarchicus"		CII	17.78	N/m³			"97Kb5 MN-3"
"Calanus glacialis"		CIV	4.44	N/m³			"97Kb5 MN-3"
"Calanus glacialis"		CV	1.33	N/m³			"97Kb5 MN-3"
"Calanus glacialis"		CIII	2.67	N/m³			"97Kb5 MN-3"
"Microcalanus spp."			1.78	N/m³			"97Kb5 MN-3"
"Oithona similis"			180.89	N/m³			"97Kb5 MN-3"
"Clione limacina"		veliger	0.02	N/m³			"97Kb5 MN-3"
"Sagitta elegans"			1.33	N/m³			"97Kb5 MN-3"
"Pseudocalanus acuspes"		CIV	15.11	N/m³			"97Kb5 MN-3"
"Pseudocalanus minutus"		CV	6.22	N/m³			"97Kb5 MN-3"
Copepoda		nauplii	47.56	N/m³			"97Kb5 MN-3"
"Calanus hyperboreus"		CIV	0.44	N/m³			"97Kb5 MN-3"
"Fritillaria borealis"			0.44	N/m³			"97Kb5 MN-3"
"Pseudocalanus spp."		CI-CIII	39.11	N/m³			"97Kb5 MN-3"
"Bradyidius similis"		CIV	0.44	N/m³			"97Kb5 MN-3"
Gastropoda		veliger	0.89	N/m³			"97Kb5 MN-3"
"Themisto abyssorum"			0.1	N/m³			"97Kb3 MN-1"
"Themisto libellula"			1.02	N/m³			"97Kb3 MN-1"
"Calanus finmarchicus"		AF	5.65	N/m³			"97Kb3 MN-1"
"Calanus finmarchicus"		CIV	13.81	N/m³			"97Kb3 MN-1"
"Calanus finmarchicus"		CV	2.06	N/m³			"97Kb3 MN-1"
"Calanus finmarchicus"		CIII	15.08	N/m³			"97Kb3 MN-1"
"Calanus finmarchicus"		CI	36.92	N/m³			"97Kb3 MN-1"
"Calanus finmarchicus"		CII	23.02	N/m³			"97Kb3 MN-1"
"Calanus glacialis"		AF	0.16	N/m³			"97Kb3 MN-1"
"Calanus glacialis"		CIV	6.98	N/m³			"97Kb3 MN-1"
"Calanus glacialis"		CV	4.44	N/m³			"97Kb3 MN-1"
"Calanus glacialis"		CIII	4.13	N/m³			"97Kb3 MN-1"
"Calanus glacialis"		CI	0.32	N/m³			"97Kb3 MN-1"
"Calanus glacialis"		CII	0.95	N/m³			"97Kb3 MN-1"
"Metridia longa"		CIV	0.03	N/m³			"97Kb3 MN-1"
"Metridia longa"		CI	0.1	N/m³			"97Kb3 MN-1"
"Microcalanus spp."			1.05	N/m³			"97Kb3 MN-1"
"Oithona similis"			75.81	N/m³			"97Kb3 MN-1"
"Triconia borealis"			0.41	N/m³			"97Kb3 MN-1"
"Limacina helicina"		veliger	0.41	N/m³			"97Kb3 MN-1"
Polychaeta			0.03	N/m³			"97Kb3 MN-1"
Polychaeta		"larvae trochophora"	0.03	N/m³			"97Kb3 MN-1"
"Sagitta elegans"			0.83	N/m³			"97Kb3 MN-1"
"Acartia longiremis"		AF	0.1	N/m³			"97Kb3 MN-1"
"Acartia longiremis"		CI-CV	0.1	N/m³			"97Kb3 MN-1"
Harpacticoida			0.19	N/m³			"97Kb3 MN-1"
"Microsetella norvegica"			0.16	N/m³			"97Kb3 MN-1"
"Pseudocalanus acuspes"		AF	0.32	N/m³			"97Kb3 MN-1"
"Pseudocalanus acuspes"		CIV	10.32	N/m³			"97Kb3 MN-1"
"Pseudocalanus acuspes"		CV	0.16	N/m³			"97Kb3 MN-1"
"Pseudocalanus minutus"		AF	0.73	N/m³			"97Kb3 MN-1"
"Pseudocalanus minutus"		CV	11.27	N/m³			"97Kb3 MN-1"
Copepoda		nauplii	39.3	N/m³			"97Kb3 MN-1"
Rotifera			0.16	N/m³			"97Kb3 MN-1"
"Calanus hyperboreus"		CIV	3.27	N/m³			"97Kb3 MN-1"
"Calanus hyperboreus"		CV	0.19	N/m³			"97Kb3 MN-1"
"Calanus hyperboreus"		CIII	0.41	N/m³			"97Kb3 MN-1"
"Gaetanus tenuispinus"			0.03	N/m³			"97Kb3 MN-1"
Bopyridae			0.13	N/m³			"97Kb3 MN-1"
"Pseudocalanus spp."		AM	0.1	N/m³			"97Kb3 MN-1"
"Pseudocalanus spp."		CI-CIII	39.68	N/m³			"97Kb3 MN-1"
"Bradyidius similis"		CIV	0.1	N/m³			"97Kb3 MN-1"
"Bradyidius similis"		CIII	0.1	N/m³			"97Kb3 MN-1"
"Bradyidius similis"		CI	0.03	N/m³			"97Kb3 MN-1"
Echinodermata		larvae	0.63	N/m³			"97Kb3 MN-1"
Bivalvia		veliger	0.32	N/m³			"97Kb3 MN-1"
"Themisto abyssorum"			0.08	N/m³			"97Kb3 MN-2"
"Themisto libellula"			1.58	N/m³			"97Kb3 MN-2"
"Calanus finmarchicus"		AF	20.42	N/m³			"97Kb3 MN-2"
"Calanus finmarchicus"		CIV	93.75	N/m³			"97Kb3 MN-2"
"Calanus finmarchicus"		CV	15	N/m³			"97Kb3 MN-2"
"Calanus finmarchicus"		CIII	103.17	N/m³			"97Kb3 MN-2"
"Calanus finmarchicus"		CI	76.08	N/m³			"97Kb3 MN-2"
"Calanus finmarchicus"		CII	60.42	N/m³			"97Kb3 MN-2"
"Calanus glacialis"		AF	0.25	N/m³			"97Kb3 MN-2"
"Calanus glacialis"		CIV	25	N/m³			"97Kb3 MN-2"
"Calanus glacialis"		CV	13.75	N/m³			"97Kb3 MN-2"
"Calanus glacialis"		CIII	14.58	N/m³			"97Kb3 MN-2"
"Calanus glacialis"		CI	1.08	N/m³			"97Kb3 MN-2"
"Calanus glacialis"		CII	2.08	N/m³			"97Kb3 MN-2"
"Metridia longa"		AF	0.08	N/m³			"97Kb3 MN-2"
"Metridia longa"		CI	0.83	N/m³			"97Kb3 MN-2"
"Microcalanus spp."			39.25	N/m³			"97Kb3 MN-2"
"Oithona atlantica"			1.25	N/m³			"97Kb3 MN-2"
"Oithona similis"			800	N/m³			"97Kb3 MN-2"
"Triconia borealis"			9.5	N/m³			"97Kb3 MN-2"
"Limacina helicina"		adult	0.08	N/m³			"97Kb3 MN-2"
"Limacina helicina"		veliger	5.33	N/m³			"97Kb3 MN-2"
Polychaeta		"larvae trochophora"	0.42	N/m³			"97Kb3 MN-2"
"Sagitta elegans"			6.08	N/m³			"97Kb3 MN-2"
"Eukrohnia hamata"			0.17	N/m³			"97Kb3 MN-2"
"Acartia longiremis"		AF	0.08	N/m³			"97Kb3 MN-2"
"Acartia longiremis"		CI-CV	0.58	N/m³			"97Kb3 MN-2"
Harpacticoida			0.83	N/m³			"97Kb3 MN-2"
"Pseudocalanus acuspes"		AF	0.83	N/m³			"97Kb3 MN-2"
"Pseudocalanus acuspes"		CIV	40.67	N/m³			"97Kb3 MN-2"
"Pseudocalanus acuspes"		CV	2.08	N/m³			"97Kb3 MN-2"
"Pseudocalanus minutus"		AF	4.17	N/m³			"97Kb3 MN-2"
"Pseudocalanus minutus"		CV	43.75	N/m³			"97Kb3 MN-2"
Copepoda		nauplii	129.17	N/m³			"97Kb3 MN-2"
"Calanus hyperboreus"		CIV	3	N/m³			"97Kb3 MN-2"
"Calanus hyperboreus"		CV	0.33	N/m³			"97Kb3 MN-2"
"Calanus hyperboreus"		CIII	0.17	N/m³			"97Kb3 MN-2"
"Fritillaria borealis"			5.33	N/m³			"97Kb3 MN-2"
Bopyridae			0.42	N/m³			"97Kb3 MN-2"
"Pseudocalanus spp."		AM	0.42	N/m³			"97Kb3 MN-2"
"Pseudocalanus spp."		CI-CIII	231.25	N/m³			"97Kb3 MN-2"
Echinodermata		larvae	6.25	N/m³			"97Kb3 MN-2"
Gastropoda		veliger	1.75	N/m³			"97Kb3 MN-2"
Bivalvia		veliger	1.17	N/m³			"97Kb3 MN-2"
"Themisto abyssorum"			1.39	N/m³			"97Kb3 MN-3"
"Themisto libellula"			5.91	N/m³			"97Kb3 MN-3"
"Calanus finmarchicus"		AF	14.73	N/m³			"97Kb3 MN-3"
"Calanus finmarchicus"		CIV	124.13	N/m³			"97Kb3 MN-3"
"Calanus finmarchicus"		CV	20.25	N/m³			"97Kb3 MN-3"
"Calanus finmarchicus"		CIII	49.09	N/m³			"97Kb3 MN-3"
"Calanus finmarchicus"		CI	0.28	N/m³			"97Kb3 MN-3"
"Calanus finmarchicus"		CII	8.37	N/m³			"97Kb3 MN-3"
"Calanus glacialis"		AF	0.95	N/m³			"97Kb3 MN-3"
"Calanus glacialis"		CIV	54.39	N/m³			"97Kb3 MN-3"
"Calanus glacialis"		CV	15.68	N/m³			"97Kb3 MN-3"
"Calanus glacialis"		CIII	26.78	N/m³			"97Kb3 MN-3"
"Calanus glacialis"		CII	1	N/m³			"97Kb3 MN-3"
"Metridia longa"		AF	0.73	N/m³			"97Kb3 MN-3"
"Metridia longa"		CIV	1.28	N/m³			"97Kb3 MN-3"
"Metridia longa"		CV	0.84	N/m³			"97Kb3 MN-3"
"Metridia longa"		CIII	11.16	N/m³			"97Kb3 MN-3"
"Metridia longa"		AM	0.06	N/m³			"97Kb3 MN-3"
"Metridia longa"		CI	5.58	N/m³			"97Kb3 MN-3"
"Metridia longa"		CII	9.37	N/m³			"97Kb3 MN-3"
"Microcalanus spp."			96.23	N/m³			"97Kb3 MN-3"
"Oithona atlantica"			1.28	N/m³			"97Kb3 MN-3"
"Oithona similis"			227.34	N/m³			"97Kb3 MN-3"
"Triconia borealis"			24.55	N/m³			"97Kb3 MN-3"
"Limacina helicina"		veliger	1	N/m³			"97Kb3 MN-3"
"Aglantha digitale"			0.06	N/m³			"97Kb3 MN-3"
Polychaeta		"larvae secondary"	0.06	N/m³			"97Kb3 MN-3"
"Sagitta elegans"			0.11	N/m³			"97Kb3 MN-3"
"Eukrohnia hamata"			0.95	N/m³			"97Kb3 MN-3"
"Thysanoessa inermis"			0.06	N/m³			"97Kb3 MN-3"
"Thysanoessa longicaudata"			0.06	N/m³			"97Kb3 MN-3"
"Oikopleura spp."			0.22	N/m³			"97Kb3 MN-3"
Monstrilloidae			0.06	N/m³			"97Kb3 MN-3"
"Pseudocalanus acuspes"		AF	3.79	N/m³			"97Kb3 MN-3"
"Pseudocalanus acuspes"		CIV	8.03	N/m³			"97Kb3 MN-3"
"Pseudocalanus minutus"		AF	4.07	N/m³			"97Kb3 MN-3"
"Pseudocalanus minutus"		CV	12.55	N/m³			"97Kb3 MN-3"
Copepoda		nauplii	2.23	N/m³			"97Kb3 MN-3"
"Metridia lucens"		AF	0.11	N/m³			"97Kb3 MN-3"
"Calanus hyperboreus"		CIV	25.83	N/m³			"97Kb3 MN-3"
"Calanus hyperboreus"		CV	1.51	N/m³			"97Kb3 MN-3"
"Calanus hyperboreus"		CIII	0.73	N/m³			"97Kb3 MN-3"
"Fritillaria borealis"			0.73	N/m³			"97Kb3 MN-3"
Bopyridae			0.12	N/m³			"97Kb3 MN-3"
"Paraeuchaeta norvegica"		AM	0.06	N/m³			"97Kb3 MN-3"
"Pseudocalanus spp."		AM	1.51	N/m³			"97Kb3 MN-3"
"Pseudocalanus spp."		CI-CIII	90.66	N/m³			"97Kb3 MN-3"
"Bradyidius similis"		CIV	0.28	N/m³			"97Kb3 MN-3"
"Bradyidius similis"		CV	0.5	N/m³			"97Kb3 MN-3"
Echinodermata		larvae	0.28	N/m³			"97Kb3 MN-3"
"Calanus finmarchicus"		AF	0.36	N/m³			"97Kb4 MN-1"
"Calanus finmarchicus"		CIV	0.72	N/m³			"97Kb4 MN-1"
"Calanus finmarchicus"		CIII	0.36	N/m³			"97Kb4 MN-1"
"Calanus finmarchicus"		CI	2.16	N/m³			"97Kb4 MN-1"
"Calanus finmarchicus"		CII	1.08	N/m³			"97Kb4 MN-1"
"Calanus glacialis"		CIV	0.36	N/m³			"97Kb4 MN-1"
"Microcalanus spp."			0.36	N/m³			"97Kb4 MN-1"
"Oithona similis"			19.1	N/m³			"97Kb4 MN-1"
"Clione limacina"		juvenile	0.1	N/m³			"97Kb4 MN-1"
Copepoda		nauplii	7.21	N/m³			"97Kb4 MN-1"
"Pseudocalanus spp."		CI-CIII	4.68	N/m³			"97Kb4 MN-1"
Bivalvia		veliger	0.36	N/m³			"97Kb4 MN-1"
"Themisto libellula"			5.19	N/m³			"97Kb4 MN-2"
"Calanus finmarchicus"		AF	19.12	N/m³			"97Kb4 MN-2"
"Calanus finmarchicus"		CIV	83.78	N/m³			"97Kb4 MN-2"
"Calanus finmarchicus"		CV	11.33	N/m³			"97Kb4 MN-2"
"Calanus finmarchicus"		CIII	144.54	N/m³			"97Kb4 MN-2"
"Calanus finmarchicus"		CI	86.14	N/m³			"97Kb4 MN-2"
"Calanus finmarchicus"		CII	94.4	N/m³			"97Kb4 MN-2"
"Calanus glacialis"		AF	0.24	N/m³			"97Kb4 MN-2"
"Calanus glacialis"		CIV	61.95	N/m³			"97Kb4 MN-2"
"Calanus glacialis"		CV	8.02	N/m³			"97Kb4 MN-2"
"Calanus glacialis"		CIII	28.08	N/m³			"97Kb4 MN-2"
"Calanus glacialis"		CII	0.59	N/m³			"97Kb4 MN-2"
"Metridia longa"		CV	0.12	N/m³			"97Kb4 MN-2"
"Metridia longa"		CII	0.24	N/m³			"97Kb4 MN-2"
"Microcalanus spp."			22.42	N/m³			"97Kb4 MN-2"
"Oithona atlantica"			2.12	N/m³			"97Kb4 MN-2"
"Oithona similis"			941	N/m³			"97Kb4 MN-2"
"Triconia borealis"			6.49	N/m³			"97Kb4 MN-2"
"Limacina helicina"		veliger	3.3	N/m³			"97Kb4 MN-2"
Polychaeta		"larvae trochophora"	0.24	N/m³			"97Kb4 MN-2"
"Sagitta elegans"			4.48	N/m³			"97Kb4 MN-2"
"Eukrohnia hamata"			0.47	N/m³			"97Kb4 MN-2"
"Acartia longiremis"		CI-CV	0.71	N/m³			"97Kb4 MN-2"
Harpacticoida			0.12	N/m³			"97Kb4 MN-2"
"Microsetella norvegica"			0.71	N/m³			"97Kb4 MN-2"
"Pseudocalanus acuspes"		AF	0.24	N/m³			"97Kb4 MN-2"
"Pseudocalanus acuspes"		CIV	68.44	N/m³			"97Kb4 MN-2"
"Pseudocalanus acuspes"		CV	0.24	N/m³			"97Kb4 MN-2"
"Pseudocalanus minutus"		AF	2.6	N/m³			"97Kb4 MN-2"
